dia,mes,semana_ano,dia_semana,hora,peatones,avg_vel_peatones,child,avg_vel_child,woman,avg_vel_woman,man,avg_vel_man,bicycle,avg_vel_bicycle,motorcycle,avg_vel_motorcycle,autos,avg_vel_autos,car,avg_vel_car,pickup truck,avg_vel_pickup truck,van,avg_vel_van,truck,avg_vel_truck,bus,avg_vel_bus,0_10_child,0_10_woman,0_10_man,0_10_bicycle,0_10_motorcycle,0_10_car,0_10_pickup,0_10_van,0_10_truck,0_10_bus,10_20_child,10_20_woman,10_20_man,10_20_bicycle,10_20_motorcycle,10_20_car,10_20_pickup,10_20_van,10_20_truck,10_20_bus,20_30_child,20_30_woman,20_30_man,20_30_bicycle,20_30_motorcycle,20_30_car,20_30_pickup,20_30_van,20_30_truck,20_30_bus,30_40_child,30_40_woman,30_40_man,30_40_bicycle,30_40_motorcycle,30_40_car,30_40_pickup,30_40_van,30_40_truck,30_40_bus,40_50_child,40_50_woman,40_50_man,40_50_bicycle,40_50_motorcycle,40_50_car,40_50_pickup,40_50_van,40_50_truck,40_50_bus,50_60_child,50_60_woman,50_60_man,50_60_bicycle,50_60_motorcycle,50_60_car,50_60_pickup,50_60_van,50_60_truck,50_60_bus,60_70_child,60_70_woman,60_70_man,60_70_bicycle,60_70_motorcycle,60_70_car,60_70_pickup,60_70_van,60_70_truck,60_70_bus,70_80_child,70_80_woman,70_80_man,70_80_bicycle,70_80_motorcycle,70_80_car,70_80_pickup,70_80_van,70_80_truck,70_80_bus,80_90_child,80_90_woman,80_90_man,80_90_bicycle,80_90_motorcycle,80_90_car,80_90_pickup,80_90_van,80_90_truck,80_90_bus,90_100_child,90_100_woman,90_100_man,90_100_bicycle,90_100_motorcycle,90_100_car,90_100_pickup,90_100_van,90_100_truck,90_100_bus,100_110_child,100_110_woman,100_110_man,100_110_bicycle,100_110_motorcycle,100_110_car,100_110_pickup,100_110_van,100_110_truck,100_110_bus,110_120_child,110_120_woman,110_120_man,110_120_bicycle,110_120_motorcycle,110_120_car,110_120_pickup,110_120_van,110_120_truck,110_120_bus,120_130_child,120_130_woman,120_130_man,120_130_bicycle,120_130_motorcycle,120_130_car,120_130_pickup,120_130_van,120_130_truck,120_130_bus,130_140_child,130_140_woman,130_140_man,130_140_bicycle,130_140_motorcycle,130_140_car,130_140_pickup,130_140_van,130_140_truck,130_140_bus,140_150_child,140_150_woman,140_150_man,140_150_bicycle,140_150_motorcycle,140_150_car,140_150_pickup,140_150_van,140_150_truck,140_150_bus,150_160_child,150_160_woman,150_160_man,150_160_bicycle,150_160_motorcycle,150_160_car,150_160_pickup,150_160_van,150_160_truck,150_160_bus,160_170_child,160_170_woman,160_170_man,160_170_bicycle,160_170_motorcycle,160_170_car,160_170_pickup,160_170_van,160_170_truck,160_170_bus,170_180_child,170_180_woman,170_180_man,170_180_bicycle,170_180_motorcycle,170_180_car,170_180_pickup,170_180_van,170_180_truck,170_180_bus
27/07/2021,Julio,31,Tuesday,15,41,4,0,0,14,6,27,7,0,0,72,56,2346,50,1988,70,214,65,61,61,83,55,48,59,0,12,22,0,0,2,0,0,0,0,0,2,5,0,2,36,6,2,3,0,0,0,0,0,0,32,3,4,0,0,0,0,0,0,6,51,2,6,8,0,0,0,0,0,17,79,22,4,13,8,0,0,0,0,17,220,37,8,25,17,0,0,0,0,21,453,59,14,26,17,0,0,0,0,7,580,46,15,6,6,0,0,0,0,2,358,35,6,2,0,0,0,0,0,0,120,4,1,0,0,0,0,0,0,0,50,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/07/2021,Julio,31,Tuesday,16,85,7,1,5,38,8,46,7,7,32,74,59,2582,54,2282,74,184,69,73,72,43,55,48,55,1,26,42,1,0,3,0,0,0,0,0,12,3,0,0,13,1,0,1,0,0,0,0,1,2,32,3,2,2,8,0,0,0,4,4,31,4,3,7,0,0,0,0,0,15,44,5,4,3,2,0,0,1,1,18,173,34,6,12,15,0,0,0,0,18,450,50,9,12,22,0,0,0,0,13,716,45,29,5,1,0,0,0,0,2,547,32,12,1,0,0,0,0,0,2,203,8,6,0,0,0,0,0,0,0,57,2,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/07/2021,Julio,31,Tuesday,17,85,9,1,15,19,6,65,7,21,23,55,47,2921,52,2597,75,219,69,76,66,29,49,46,61,0,18,56,6,0,2,0,0,2,1,1,1,6,1,0,10,6,0,0,1,0,0,2,6,3,35,5,2,2,1,0,0,0,8,5,54,3,4,5,0,0,0,1,0,26,35,7,2,1,2,0,0,0,0,18,198,29,17,10,10,0,0,0,0,3,495,53,23,9,24,0,0,0,0,0,813,60,13,0,5,0,0,0,0,0,565,44,9,0,2,0,0,0,0,0,272,8,4,0,0,0,0,0,0,0,92,2,2,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/07/2021,Julio,31,Tuesday,18,182,6,1,5,43,6,138,6,14,33,78,47,3171,56,2837,74,264,68,48,71,22,67,65,60,1,37,128,2,0,0,0,0,1,0,0,6,8,0,4,18,4,2,0,0,0,0,0,2,0,37,4,0,0,7,0,0,0,6,9,42,12,2,2,0,0,0,2,3,47,66,9,0,0,2,0,0,0,1,11,270,36,5,3,17,0,0,0,0,4,607,74,7,6,27,0,0,0,0,0,788,64,16,6,7,0,0,0,0,1,569,46,13,1,4,0,0,0,0,2,295,14,3,1,1,0,0,0,0,0,109,1,0,2,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/07/2021,Julio,31,Tuesday,19,156,6,8,5,41,5,107,7,38,32,90,56,2670,49,2454,73,176,66,25,67,15,40,73,55,8,39,87,2,0,2,2,0,1,4,0,2,17,4,0,9,6,0,2,4,0,0,2,9,0,26,1,0,1,8,0,0,1,18,4,32,6,0,2,2,0,0,0,3,27,68,9,0,3,5,0,0,0,0,28,306,32,9,5,8,0,0,0,0,21,617,44,8,1,24,0,0,0,2,10,637,41,3,0,10,0,0,0,0,0,423,19,5,0,8,0,0,0,0,0,194,8,0,0,0,0,0,0,0,0,103,7,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/07/2021,Julio,31,Tuesday,20,209,6,5,5,98,6,106,8,22,30,111,48,2029,48,1890,70,102,65,12,55,25,51,49,52,5,92,88,0,0,2,0,0,2,2,0,4,13,2,0,4,0,0,3,1,0,2,2,14,4,27,4,0,3,3,0,0,2,2,10,39,6,2,2,4,0,0,1,2,51,117,7,4,0,4,0,0,0,2,39,249,19,2,5,17,0,0,0,0,7,448,20,0,0,16,0,0,0,0,0,506,29,4,7,2,0,0,0,0,0,325,15,0,1,0,0,0,0,0,0,121,2,0,2,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/07/2021,Julio,31,Tuesday,21,156,6,8,6,46,5,102,7,6,42,34,46,1394,49,1321,63,56,65,7,58,10,57,36,56,7,45,93,0,0,0,0,0,0,0,1,1,3,0,1,27,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,4,2,10,58,2,0,2,0,0,0,2,4,11,113,0,2,2,7,0,0,0,0,9,250,22,1,2,21,0,0,0,0,3,374,14,4,2,4,0,0,0,0,0,318,11,0,0,4,0,0,0,0,0,111,5,0,2,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/07/2021,Julio,31,Tuesday,22,101,6,2,5,23,5,76,6,6,22,20,41,905,45,860,63,37,63,5,67,3,32,33,50,2,22,68,2,0,1,0,0,0,0,0,1,7,2,1,10,0,0,0,0,0,0,0,0,2,39,0,0,1,4,0,0,1,0,7,47,2,0,2,5,0,0,0,2,4,84,4,0,0,6,0,0,0,0,6,124,10,0,0,9,0,0,0,0,0,221,9,4,0,7,0,0,0,0,0,214,6,1,0,0,0,0,0,0,0,88,6,0,0,2,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/07/2021,Julio,31,Tuesday,23,12,3,0,0,8,5,4,5,0,0,2,45,54,24,53,63,0,0,1,55,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/07/2021,Julio,31,Wednesday,5,24,5,0,0,2,5,22,11,2,25,4,40,96,19,88,47,8,50,0,0,0,0,16,45,0,2,16,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,4,2,0,2,0,0,0,0,0,0,2,0,2,6,0,0,0,4,0,0,0,0,2,26,6,0,0,8,0,0,0,0,0,20,0,0,0,4,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
