dia,mes,semana_ano,dia_semana,hora,peatones,peatones_vel,nino,nino_vel,mujer,mujer_vel,hombre,hombre_vel,bicicleta,bicicleta_vel,motocicleta,motocicleta_vel,autos,autos_vel,auto_particular,auto_particular_vel,pickup_truck,pickup_truck_vel,van,van_vel,truck,truck_vel,camion,camion_vel
07/08/2021,Agosto,32,7,17,99,5,3,5,34,5,62,6,21,32,109,46,2023,52,1866,72,124,69,14,62,19,54,43,50
07/08/2021,Agosto,32,7,18,72,4,0,0,20,5,52,6,11,39,109,46,1980,49,1839,71,120,63,13,67,8,43,51,49
07/08/2021,Agosto,32,7,19,88,5,0,0,20,7,68,7,38,42,116,63,2604,49,2456,67,107,59,20,61,21,60,76,51
07/08/2021,Agosto,32,7,20,204,6,10,5,49,6,145,6,13,56,179,55,2978,47,2868,66,83,64,15,63,12,41,67,53
07/08/2021,Agosto,32,7,21,183,6,4,5,50,5,129,8,5,49,88,46,2367,48,2298,61,58,59,6,53,5,67,47,52
07/08/2021,Agosto,32,7,22,188,6,4,5,76,5,108,8,10,46,86,44,1650,49,1594,63,41,70,7,64,8,50,38,51
07/08/2021,Agosto,32,7,23,13,3,0,0,6,5,7,5,0,0,14,41,123,22,120,55,3,55,0,0,0,0,3,52
08/08/2021,Agosto,32,1,5,22,4,0,0,4,5,18,6,2,15,6,52,123,20,119,48,4,50,0,0,0,0,2,45
08/08/2021,Agosto,32,1,6,28,4,0,0,2,5,26,7,0,0,10,47,199,23,189,58,10,55,0,0,0,0,8,53
08/08/2021,Agosto,32,1,7,56,9,2,15,16,8,38,6,35,31,14,45,236,44,197,59,27,54,8,63,4,45,33,45
08/08/2021,Agosto,32,1,8,63,4,0,0,6,5,57,8,71,30,24,45,379,36,320,56,39,41,2,45,18,38,24,50
08/08/2021,Agosto,32,1,9,161,5,0,0,39,6,122,10,108,23,32,42,501,43,455,57,32,45,6,50,8,61,26,46
08/08/2021,Agosto,32,1,10,129,7,1,5,25,7,103,10,212,17,33,41,683,40,657,59,19,57,1,35,6,50,22,48
08/08/2021,Agosto,32,1,11,181,6,43,6,56,5,82,7,208,19,34,42,747,33,701,60,44,60,2,45,0,0,18,52
08/08/2021,Agosto,32,1,12,71,6,2,5,22,7,47,6,108,20,68,45,1056,38,994,58,52,57,8,43,2,35,20,51
08/08/2021,Agosto,32,1,13,43,6,2,5,10,5,31,9,16,25,149,45,1418,42,1325,68,79,61,8,50,6,30,26,51
08/08/2021,Agosto,32,1,14,22,3,0,0,4,5,18,5,4,30,192,50,1660,51,1544,74,84,65,10,61,22,55,24,57
08/08/2021,Agosto,32,1,15,48,4,0,0,10,5,38,6,18,18,158,52,1453,47,1338,70,81,62,20,57,14,48,28,54
08/08/2021,Agosto,32,1,16,48,4,0,0,17,5,31,6,11,52,152,63,1394,47,1299,67,77,59,6,55,12,53,19,58
08/08/2021,Agosto,32,1,17,64,5,4,5,15,5,45,6,10,41,118,52,1611,48,1490,70,97,68,14,62,10,42,32,46
08/08/2021,Agosto,32,1,18,104,6,1,5,55,5,48,9,29,31,125,45,1778,47,1661,68,104,66,11,56,2,45,32,48
08/08/2021,Agosto,32,1,19,88,4,0,0,39,5,49,7,42,61,126,56,1895,37,1803,64,79,64,0,0,13,57,24,45
08/08/2021,Agosto,32,1,20,125,6,4,5,50,6,71,8,6,48,140,56,1792,45,1722,65,52,65,8,55,10,41,34,49
08/08/2021,Agosto,32,1,21,158,7,4,5,75,7,79,9,2,5,50,46,1427,47,1378,61,37,59,6,65,6,50,32,49
08/08/2021,Agosto,32,1,22,37,9,6,8,7,5,24,13,1,45,21,38,582,37,565,62,11,68,0,0,6,57,9,51
08/08/2021,Agosto,32,1,23,0,0,0,0,0,0,0,0,0,0,0,0,23,27,22,61,1,75,0,0,0,0,0,0
